facilityid,name,address,city,county,state,zip,capacity,type,securelvl,status,ice_facility,flood_risk_rating,flood_risk,confidence,distance,depth_cm_100_year_flood,heat_risk_rating,heat_risk,hist_90,hist_105,late45_90,late45_105,late85_90,late85_105,paris_90,paris_105,wildfire_risk_rating,wildfire_risk,mean_percentile,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
10007016,WOODINVILLE COMMUNITY FACILITY,14521 - 124TH AVENUE N.E.,WOODINVILLE,KING,WA,98034,16,STATE,JUVENILE,OPEN,N,1,Minimal,high,0.0,0,0,Minimal,0.0818414,0.0,4.85678,0.0,18.2711,1.28645,3.21995,0.0,1,minimal,27,47.733643,-122.176741,1.0,rooftop,14521,124th Ave NE,,,Kirkland,WA,King County,98034,US,King
10007016,WOODINVILLE COMMUNITY FACILITY,14521 - 124TH AVENUE N.E.,WOODINVILLE,KING,WA,98034,16,STATE,JUVENILE,OPEN,N,1,Minimal,high,0.0,0,0,Minimal,0.0818414,0.0,4.85678,0.0,18.2711,1.28645,3.21995,0.0,1,minimal,27,47.733643,-122.176741,1.0,rooftop,14521,124th Ave NE,,,Kirkland,WA,King County,98034,US,King
10007016,WOODINVILLE COMMUNITY FACILITY,14521 - 124TH AVENUE N.E.,WOODINVILLE,KING,WA,98034,16,STATE,JUVENILE,OPEN,N,1,Minimal,high,0.0,0,0,Minimal,0.0818414,0.0,4.85678,0.0,18.2711,1.28645,3.21995,0.0,1,minimal,27,47.733643,-122.176741,1.0,rooftop,14521,124th Ave NE,,,Kirkland,WA,King County,98034,US,King
10001176,ST. ANTHONY WORK CAMP,125 N 8TH W,ST. ANTHONY,FREMONT,ID,83445,262,STATE,MINIMUM,OPEN,N,4,Moderate,high,0.0,7,0,Minimal,0.0338462,0.0,6.16,0.0,26.24,0.264615,3.79077,0.0,2,low,76,43.967606,-111.693165,1.0,range_interpolation,125,N 8th W,,,Saint Anthony,ID,Fremont County,83445,US,TIGER/Line® dataset from the US Census Bureau
10001176,ST. ANTHONY WORK CAMP,125 N 8TH W,ST. ANTHONY,FREMONT,ID,83445,262,STATE,MINIMUM,OPEN,N,4,Moderate,high,0.0,7,0,Minimal,0.0338462,0.0,6.16,0.0,26.24,0.264615,3.79077,0.0,2,low,76,43.967606,-111.693165,1.0,range_interpolation,125,N 8th W,,,Saint Anthony,ID,Fremont County,83445,US,TIGER/Line® dataset from the US Census Bureau
10001891,FREMONT COUNTY DETENTION CENTER,460 RAILROAD ST,LANDER,FREMONT,WY,82520,171,COUNTY,MAXIMUM,OPEN,N,6,Major,high,0.0,28,0,Minimal,0.614323,0.0,10.2234,0.0,31.6603,0.636005,7.2339,0.0,2,low,77,42.835715,-108.724423,1.0,range_interpolation,460,Railroad St,,,Lander,WY,Fremont County,82520,US,TIGER/Line® dataset from the US Census Bureau
10001891,FREMONT COUNTY DETENTION CENTER,460 RAILROAD ST,LANDER,FREMONT,WY,82520,171,COUNTY,MAXIMUM,OPEN,N,6,Major,high,0.0,28,0,Minimal,0.614323,0.0,10.2234,0.0,31.6603,0.636005,7.2339,0.0,2,low,77,42.835715,-108.724423,1.0,range_interpolation,460,Railroad St,,,Lander,WY,Fremont County,82520,US,TIGER/Line® dataset from the US Census Bureau
10003599,HEART OF AMERICA CORRECTIONAL / TREATMENT CENTER,110 INDUSTRIAL RD,RUGBY,PIERCE,ND,58368,142,COUNTY,MINIMUM,OPEN,N,1,Minimal,medium,0.213992612230176,0,1,Low,8.04369,0.0,31.3155,2.47087,55.2864,12.3835,25.4272,1.21845,1,minimal,67,48.371257,-99.97696,1.0,range_interpolation,110,Industrial Rd,,,Rugby,ND,Pierce County,58368,US,TIGER/Line® dataset from the US Census Bureau
10006987,CANYON VIEW COMMUNITY FACILITY,260 N. GEORGIA AVENUE,EAST WENATCHEE,DOUGLAS,WA,98802,-999,STATE,JUVENILE,OPEN,N,6,Major,medium-high,0.0093305691214254,36,1,Low,6.75455,0.0,29.9,0.269697,53.8909,5.72424,24.4333,0.0393939,1,minimal,47,47.408793,-120.277712,1.0,rooftop,260,N Georgia Ave,,,East Wenatchee,WA,Douglas County,98802,US,Chelan (Public Domain)
10006987,CANYON VIEW COMMUNITY FACILITY,260 N. GEORGIA AVENUE,EAST WENATCHEE,DOUGLAS,WA,98802,-999,STATE,JUVENILE,OPEN,N,6,Major,medium-high,0.0093305691214254,36,1,Low,6.75455,0.0,29.9,0.269697,53.8909,5.72424,24.4333,0.0393939,1,minimal,47,47.408793,-120.277712,1.0,rooftop,260,N Georgia Ave,,,East Wenatchee,WA,Douglas County,98802,US,Chelan (Public Domain)
