Township,Range,Section,Description and Class,Mineral Acres,County,MERIDIAN,Legal Description Short,PLSSID,FRSTDIVID,SECDIVID,STATEABBR,PRINMERCD,PRINMER,TWNSHPNO,TWNSHPFRAC,TWNSHPDIR,RANGENO,RANGEFRAC,RANGEDIR,TWNSHPDPCD,STEWARD,TWNSHPLAB,FRSTDIVTYP,FRSTDIVTXT,FRSTDIVNO,FRSTDIVDUP,FRSTDIVLAB,SECDIVTYP,SECDIVTXT,SECDIVNO,SECDIVLAB,QSEC,QQSEC,GOVLOT,RECRDAREATX,RECRDAREANO,GISACRE,REVISEDDATE,GlobalID,OBJECTID,Shape.STArea(),Shape.STLength(),SECDIVNOTE
8.0,7.0,31.0,"LOTS 3,4, E2SW, SE4 - T",320.09,Fall River County,7,L3,SD070080S0070E0,SD070080S0070E0SN310,SD070080S0070E0SN310L3,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,31,0,31,L,Government Lot,3,L 3,SW,NWSW,L3,40.07 Acres,40.07,40.1559361,1318550400000.0,{4ABFBDC9-8F3D-4226-B8E4-7B3B95E04FA8},588328.0,306340.91713481,2213.9237475263435,
8.0,7.0,31.0,"LOTS 3,4, E2SW, SE4 - T",320.09,Fall River County,7,L4,SD070080S0070E0,SD070080S0070E0SN310,SD070080S0070E0SN310L4,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,31,0,31,L,Government Lot,4,L 4,SW,SWSW,L4,40.02 Acres,40.02,40.11148,1318550400000.0,{057A11D5-74E4-43C8-902C-3F038F7E08BC},588346.0,305965.217093585,2212.581595339575,
8.0,7.0,31.0,"LOTS 3,4, E2SW, SE4 - T",320.09,Fall River County,7,ANESE,SD070080S0070E0,SD070080S0070E0SN310,SD070080S0070E0SN310ANESE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,31,0,31,A,Aliquot Part,NESE,NESE,SE,NESE,,40 Acres,40.0,40.10833774,1318550400000.0,{9470FBBF-FE4B-4A17-BB89-34CC077D4DF1},588322.0,305984.18404972,2212.63800588304,
8.0,7.0,31.0,"LOTS 3,4, E2SW, SE4 - T",320.09,Fall River County,7,ANWSE,SD070080S0070E0,SD070080S0070E0SN310,SD070080S0070E0SN310ANWSE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,31,0,31,A,Aliquot Part,NWSE,NWSE,SE,NWSE,,40 Acres,40.0,40.1022711,1318550400000.0,{3775C139-C09D-4955-AAF5-23AD52C03C44},588324.0,305935.80649291,2212.4629070439078,
8.0,7.0,31.0,"LOTS 3,4, E2SW, SE4 - T",320.09,Fall River County,7,ASESE,SD070080S0070E0,SD070080S0070E0SN310,SD070080S0070E0SN310ASESE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,31,0,31,A,Aliquot Part,SESE,SESE,SE,SESE,,40 Acres,40.0,40.12182422,1318550400000.0,{8F68E805-B468-4FD4-A954-3C7921B6F78C},588349.0,306050.421597035,2212.8605129122434,
8.0,7.0,31.0,"LOTS 3,4, E2SW, SE4 - T",320.09,Fall River County,7,ASWSE,SD070080S0070E0,SD070080S0070E0SN310,SD070080S0070E0SN310ASWSE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,31,0,31,A,Aliquot Part,SWSE,SWSE,SE,SWSE,,40 Acres,40.0,40.1151129,1318550400000.0,{561A993E-276E-45B5-B1B9-AF0619DDFE49},588348.0,305997.162501975,2212.6851900753363,
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,7,ANENE,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ANENE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,32,0,32,A,Aliquot Part,NENE,NENE,NE,NENE,,40 Acres,40.0,40.12749938,1318550400000.0,{E83AAE7A-7FD6-4ED1-8E69-F4D245F9A068},588278.0,306211.578255475,2213.4600409878017,
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,7,ANENW,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ANENW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,32,0,32,A,Aliquot Part,NENW,NENW,NW,NENW,,40 Acres,40.0,40.1238498,1318550400000.0,{2191990D-44A5-4B4D-89BA-D25B169ADB5C},588276.0,306179.47492415,2213.343602993063,
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,7,ANESW,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ANESW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,32,0,32,A,Aliquot Part,NESW,NESW,SW,NESW,,40 Acres,40.0,40.11673855,1318550400000.0,{4FF6604B-85CC-42D0-A23C-B90E2343E53A},588325.0,306052.47459451,2212.8850111547526,
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,7,ANWNE,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ANWNE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,32,0,32,A,Aliquot Part,NWNE,NWNE,NE,NWNE,,40 Acres,40.0,40.12555428,1318550400000.0,{E8D4D19E-6B72-49CF-8D2B-6CBB25B79EE5},588277.0,306194.58291048,2213.398372652898,
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,7,ANWNW,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ANWNW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,32,0,32,A,Aliquot Part,NWNW,NWNW,NW,NWNW,,40 Acres,40.0,40.12400994,1318550400000.0,{56197E8A-E9DA-4A7E-BC82-4915CC8ADA89},588275.0,306178.576646455,2213.3402322206452,
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,7,ANWSW,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ANWSW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,32,0,32,A,Aliquot Part,NWSW,NWSW,SW,NWSW,,40 Acres,40.0,40.11666448,1318550400000.0,{53965D48-9617-4DA5-B6AE-018F17B01109},588323.0,306049.83558238,2212.8753325747057,
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,7,ASENE,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ASENE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,32,0,32,A,Aliquot Part,SENE,SENE,NE,SENE,,40 Acres,40.0,40.1259256,1318550400000.0,{423B6CB3-71A4-47E4-AC83-CC34385040C8},588303.0,306163.146322825,2213.285051302707,
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,7,ASENW,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ASENW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,32,0,32,A,Aliquot Part,SENW,SENW,NW,SENW,,40 Acres,40.0,40.12022019,1318550400000.0,{8329E4CE-E7FD-4DB8-8F5D-A4D13ABCF7C2},588300.0,306115.42215061,2213.1123079923896,
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,7,ASESW,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ASESW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,32,0,32,A,Aliquot Part,SESW,SESW,SW,SESW,,40 Acres,40.0,40.1134392,1318550400000.0,{B7AD9646-C623-483C-93A4-C372BD4BBCCA},588351.0,305990.75322946,2212.6608046449182,
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,7,ASWNE,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ASWNE,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,32,0,32,A,Aliquot Part,SWNE,SWNE,NE,SWNE,,40 Acres,40.0,40.12399127,1318550400000.0,{41AEB9E4-9274-4A68-94CB-6828C034F8C9},588301.0,306146.305058445,2213.223985182215,
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,7,ASWNW,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ASWNW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,32,0,32,A,Aliquot Part,SWNW,SWNW,NW,SWNW,,40 Acres,40.0,40.12061109,1318550400000.0,{70DA219F-FBCD-473E-881A-BDF7B6BBC395},588299.0,306116.288556305,2213.115329312335,
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,7,ASWSW,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ASWSW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,32,0,32,A,Aliquot Part,SWSW,SWSW,SW,SWSW,,40 Acres,40.0,40.11305535,1318550400000.0,{51C6F314-B679-4029-9D24-A1EFB2E1FD5A},588350.0,305985.718039245,2212.646934013044,
8.0,7.0,33.0,"NW4, SE4 - T",320.0,Fall River County,7,ANENW,SD070080S0070E0,SD070080S0070E0SN330,SD070080S0070E0SN330ANENW,SD,07,Black Hills Meridian,008,0,S,007,0,E,0,BLM Cadastral - MT,8S 7E,SN,Section,33,0,33,A,Aliquot Part,NENW,NENW,NW,NENW,,40 Acres,40.0,40.10566895,1318550400000.0,{E1FD14E4-1BDA-4BAA-A611-277792B03584},588282.0,306049.10666387,2212.8721749501756,
