Township,Range,Section,Description and Class,Mineral Acres,County
8.0,7.0,31,"LOTS 3,4, E2SW, SE4 - T",320.09,Fall River County
8.0,7.0,32,"N2, SW4 - T",480.0,Fall River County
8.0,7.0,33,"NW4, SE4 - T",320.0,Fall River County
8.0,7.0,34,S2 - T,320.0,Fall River County
8.0,7.0,35,"W2, SE4 - T",480.0,Fall River County
10.0,5.0,21,ALL - T,640.0,Fall River County
10.0,5.0,22,ALL - T,640.0,Fall River County
10.0,5.0,23,ALL - T,640.0,Fall River County
10.0,5.0,24,ALL - T,640.0,Fall River County
10.0,5.0,25,ALL - T,640.0,Fall River County
10.0,5.0,26,ALL - T,640.0,Fall River County
10.0,5.0,27,ALL - T,640.0,Fall River County
10.0,5.0,28,ALL - T,640.0,Fall River County
10.0,5.0,33,ALL - T,640.0,Fall River County
10.0,5.0,34,ALL - T,640.0,Fall River County
10.0,5.0,35,ALL - T,640.0,Fall River County
17.0,2.0,1,"LOTS 1,2,3,4, S2N2, S2 - T",639.68,Harding County
17.0,2.0,2,"LOTS 1,2,3,4, S2N2, S2 - T",639.9,Harding County
17.0,2.0,3,"LOTS 1,2,3,4, S2N2, S2 - T",640.44,Harding County
17.0,2.0,4,"LOTS 1,2,3,4, S2N2, S2 - T",640.12,Harding County
17.0,2.0,5,"LOTS 1,2,3,4, S2N2, S2 - T",640.96,Harding County
125.0,69.0,5.0,"LOTS 1,2,3,4, S2N2, N2SW - T",399.64,McPherson County
125.0,69.0,6.0,S2SE - T,80,McPherson County
125.0,69.0,8.0,W2NW - T,80,McPherson County
125.0,69.0,17.0,"W2SW,SW4SE, SE4SW - T",160,McPherson County
125.0,69.0,20.0,"N2S2, SE4SW, S2SE - T",280,McPherson County
125.0,69.0,21.0,"SE4NE, N2NW, SW4NW, W2SW, SE4SW, E2SE - T",360,McPherson County
125.0,69.0,22.0,"E2W2, SW4NW, W2SW - T",280,McPherson County
125.0,69.0,29.0,"NE4, NE4NW, S2NW - T",280,McPherson County
125.0,69.0,30.0,"W2NE, SE4NE - T",120,McPherson County
125.0,69.0,31.0,"LOTS 1,2,3, E2NW, NE4SW - T",241.61,McPherson County
125.0,69.0,32.0,"S2NE, W2SW, SE4SW, SE4 - T",360,McPherson County
125.0,69.0,33.0,ALL - T,640,McPherson County
125.0,69.0,34.0,ALL - T,640,McPherson County
125.0,69.0,35.0,ALL - T,640,McPherson County
127.0,55.0,19.0,"LOTS 5,6,7,8,9,10, E2SW, SE4 - T",516.28,Marshall County
127.0,55.0,20.0,"LOTS 5,6,7,8, S2 - T",514.64,Marshall County
127.0,55.0,21.0,"LOTS 2,3,4  - T",138.58,Marshall County
127.0,55.0,28.0,"LOT 3, W2W2 - T",198.22,Marshall County
127.0,55.0,29.0,ALL - T,640.0,Marshall County
127.0,55.0,30.0,"LOTS 1,2,3, NE4, E2NW, NE4SW, N2SE, SE4SE - T",517.99,Marshall County
127.0,55.0,31.0,"LOTS 2,3,4,8,9,10, SE4SW  - T",245.47,Marshall County
127.0,55.0,32.0,"LOTS 1,2,3,4,5, NE4NE, S2NE, E2NW, NE4SW, SE4 - T",541.1,Marshall County
127.0,55.0,33.0,"LOTS 1,2,3,4, NW4NW, S2NW, SW4 - T",390.92,Marshall County
127.0,56.0,19.0,"LOTS 9, 10, 11 - T",14.21,Marshall County
127.0,56.0,20.0,"LOTS 5,6,7,8, S2 - T",534.56,Marshall County
127.0,56.0,21.0,"LOTS 5,6,7,8, SW4, N2SE, SE4SE - T",490.08,Marshall County
127.0,56.0,22.0,"LOTS 5,6,7,8, NE4SW, W2SW, SE4 - T",486.6,Marshall County
127.0,56.0,23.0,"LOTS 5,6,7,8, S2 - T",522.6,Marshall County
127.0,56.0,24.0,"LOTS 5,6,7,8, S2 - T",520.52,Marshall County
127.0,56.0,25.0,ALL - T,640.0,Marshall County
127.0,56.0,26.0,"NE4, W2 - T",480.0,Marshall County
127.0,56.0,27.0,"E2, NW4NW, SE4NW, NE4SW, W2SW -  T",520.0,Marshall County
127.0,56.0,28.0,"N2NE, W2, S2SE - T",480.0,Marshall County
127.0,56.0,29.0,ALL - T,640.0,Marshall County
127.0,56.0,30.0,"LOTS 5,6,7,8 - T",21.28,Marshall County
127.0,56.0,31.0,"LOTS 5,6,7,8 - T",25.52,Marshall County
127.0,56.0,32.0,"W2NE, NW4, S2 - T",560.0,Marshall County
127.0,56.0,33.0,ALL - T,640.0,Marshall County
127.0,56.0,34.0,NE4 - T,160.0,Marshall County
127.0,56.0,34.0,S2 - T,320.0,Marshall County
