Township,Range,Section,Description and Class,Mineral Acres,County,MERIDIAN,Legal Description Short,PLSSID,FRSTDIVID,SECDIVID
8.0,7.0,31.0,"LOTS 3,4, E2SW, SE4 - T",320.09,Fall River County,07,L3,SD070080S0070E0,SD070080S0070E0SN310,SD070080S0070E0SN310L3
8.0,7.0,31.0,"LOTS 3,4, E2SW, SE4 - T",320.09,Fall River County,07,L4,SD070080S0070E0,SD070080S0070E0SN310,SD070080S0070E0SN310L4
8.0,7.0,31.0,"LOTS 3,4, E2SW, SE4 - T",320.09,Fall River County,07,ANESE,SD070080S0070E0,SD070080S0070E0SN310,SD070080S0070E0SN310ANESE
8.0,7.0,31.0,"LOTS 3,4, E2SW, SE4 - T",320.09,Fall River County,07,ANWSE,SD070080S0070E0,SD070080S0070E0SN310,SD070080S0070E0SN310ANWSE
8.0,7.0,31.0,"LOTS 3,4, E2SW, SE4 - T",320.09,Fall River County,07,ASESE,SD070080S0070E0,SD070080S0070E0SN310,SD070080S0070E0SN310ASESE
8.0,7.0,31.0,"LOTS 3,4, E2SW, SE4 - T",320.09,Fall River County,07,ASWSE,SD070080S0070E0,SD070080S0070E0SN310,SD070080S0070E0SN310ASWSE
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,07,ANENE,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ANENE
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,07,ANENW,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ANENW
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,07,ANESW,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ANESW
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,07,ANWNE,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ANWNE
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,07,ANWNW,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ANWNW
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,07,ANWSW,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ANWSW
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,07,ASENE,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ASENE
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,07,ASENW,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ASENW
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,07,ASESW,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ASESW
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,07,ASWNE,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ASWNE
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,07,ASWNW,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ASWNW
8.0,7.0,32.0,"N2, SW4 - T",480.0,Fall River County,07,ASWSW,SD070080S0070E0,SD070080S0070E0SN320,SD070080S0070E0SN320ASWSW
8.0,7.0,33.0,"NW4, SE4 - T",320.0,Fall River County,07,ANENW,SD070080S0070E0,SD070080S0070E0SN330,SD070080S0070E0SN330ANENW
8.0,7.0,33.0,"NW4, SE4 - T",320.0,Fall River County,07,ANESE,SD070080S0070E0,SD070080S0070E0SN330,SD070080S0070E0SN330ANESE
8.0,7.0,33.0,"NW4, SE4 - T",320.0,Fall River County,07,ANWNW,SD070080S0070E0,SD070080S0070E0SN330,SD070080S0070E0SN330ANWNW
8.0,7.0,33.0,"NW4, SE4 - T",320.0,Fall River County,07,ANWSE,SD070080S0070E0,SD070080S0070E0SN330,SD070080S0070E0SN330ANWSE
8.0,7.0,33.0,"NW4, SE4 - T",320.0,Fall River County,07,ASENW,SD070080S0070E0,SD070080S0070E0SN330,SD070080S0070E0SN330ASENW
8.0,7.0,33.0,"NW4, SE4 - T",320.0,Fall River County,07,ASESE,SD070080S0070E0,SD070080S0070E0SN330,SD070080S0070E0SN330ASESE
8.0,7.0,33.0,"NW4, SE4 - T",320.0,Fall River County,07,ASWNW,SD070080S0070E0,SD070080S0070E0SN330,SD070080S0070E0SN330ASWNW
8.0,7.0,33.0,"NW4, SE4 - T",320.0,Fall River County,07,ASWSE,SD070080S0070E0,SD070080S0070E0SN330,SD070080S0070E0SN330ASWSE
8.0,7.0,34.0,S2 - T,320.0,Fall River County,07,ANESE,SD070080S0070E0,SD070080S0070E0SN340,SD070080S0070E0SN340ANESE
8.0,7.0,34.0,S2 - T,320.0,Fall River County,07,ANESW,SD070080S0070E0,SD070080S0070E0SN340,SD070080S0070E0SN340ANESW
8.0,7.0,34.0,S2 - T,320.0,Fall River County,07,ANWSE,SD070080S0070E0,SD070080S0070E0SN340,SD070080S0070E0SN340ANWSE
8.0,7.0,34.0,S2 - T,320.0,Fall River County,07,ANWSW,SD070080S0070E0,SD070080S0070E0SN340,SD070080S0070E0SN340ANWSW
8.0,7.0,34.0,S2 - T,320.0,Fall River County,07,ASESE,SD070080S0070E0,SD070080S0070E0SN340,SD070080S0070E0SN340ASESE
8.0,7.0,34.0,S2 - T,320.0,Fall River County,07,ASESW,SD070080S0070E0,SD070080S0070E0SN340,SD070080S0070E0SN340ASESW
8.0,7.0,34.0,S2 - T,320.0,Fall River County,07,ASWSE,SD070080S0070E0,SD070080S0070E0SN340,SD070080S0070E0SN340ASWSE
8.0,7.0,34.0,S2 - T,320.0,Fall River County,07,ASWSW,SD070080S0070E0,SD070080S0070E0SN340,SD070080S0070E0SN340ASWSW
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,07,ANENW,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ANENW
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,07,ANESE,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ANESE
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,07,ANESW,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ANESW
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,07,ANWNW,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ANWNW
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,07,ANWSE,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ANWSE
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,07,ANWSW,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ANWSW
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,07,ASENW,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ASENW
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,07,ASESE,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ASESE
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,07,ASESW,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ASESW
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,07,ASWNW,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ASWNW
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,07,ASWSE,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ASWSE
8.0,7.0,35.0,"W2, SE4 - T",480.0,Fall River County,07,ASWSW,SD070080S0070E0,SD070080S0070E0SN350,SD070080S0070E0SN350ASWSW
10.0,5.0,21.0,ALL - T,640.0,Fall River County,07,ANENE,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ANENE
10.0,5.0,21.0,ALL - T,640.0,Fall River County,07,ANENW,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ANENW
10.0,5.0,21.0,ALL - T,640.0,Fall River County,07,ANESE,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ANESE
10.0,5.0,21.0,ALL - T,640.0,Fall River County,07,ANESW,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ANESW
10.0,5.0,21.0,ALL - T,640.0,Fall River County,07,ANWNE,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ANWNE
10.0,5.0,21.0,ALL - T,640.0,Fall River County,07,ANWNW,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ANWNW
10.0,5.0,21.0,ALL - T,640.0,Fall River County,07,ANWSE,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ANWSE
10.0,5.0,21.0,ALL - T,640.0,Fall River County,07,ANWSW,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ANWSW
10.0,5.0,21.0,ALL - T,640.0,Fall River County,07,ASENE,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ASENE
10.0,5.0,21.0,ALL - T,640.0,Fall River County,07,ASENW,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ASENW
10.0,5.0,21.0,ALL - T,640.0,Fall River County,07,ASESE,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ASESE
10.0,5.0,21.0,ALL - T,640.0,Fall River County,07,ASESW,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ASESW
10.0,5.0,21.0,ALL - T,640.0,Fall River County,07,ASWNE,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ASWNE
10.0,5.0,21.0,ALL - T,640.0,Fall River County,07,ASWNW,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ASWNW
10.0,5.0,21.0,ALL - T,640.0,Fall River County,07,ASWSE,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ASWSE
10.0,5.0,21.0,ALL - T,640.0,Fall River County,07,ASWSW,SD070100S0050E0,SD070100S0050E0SN210,SD070100S0050E0SN210ASWSW
10.0,5.0,22.0,ALL - T,640.0,Fall River County,07,ANENE,SD070100S0050E0,SD070100S0050E0SN220,SD070100S0050E0SN220ANENE
10.0,5.0,22.0,ALL - T,640.0,Fall River County,07,ANENW,SD070100S0050E0,SD070100S0050E0SN220,SD070100S0050E0SN220ANENW
10.0,5.0,22.0,ALL - T,640.0,Fall River County,07,ANESE,SD070100S0050E0,SD070100S0050E0SN220,SD070100S0050E0SN220ANESE
10.0,5.0,22.0,ALL - T,640.0,Fall River County,07,ANESW,SD070100S0050E0,SD070100S0050E0SN220,SD070100S0050E0SN220ANESW
10.0,5.0,22.0,ALL - T,640.0,Fall River County,07,ANWNE,SD070100S0050E0,SD070100S0050E0SN220,SD070100S0050E0SN220ANWNE
10.0,5.0,22.0,ALL - T,640.0,Fall River County,07,ANWNW,SD070100S0050E0,SD070100S0050E0SN220,SD070100S0050E0SN220ANWNW
10.0,5.0,22.0,ALL - T,640.0,Fall River County,07,ANWSE,SD070100S0050E0,SD070100S0050E0SN220,SD070100S0050E0SN220ANWSE
10.0,5.0,22.0,ALL - T,640.0,Fall River County,07,ANWSW,SD070100S0050E0,SD070100S0050E0SN220,SD070100S0050E0SN220ANWSW
