County,Meridian,Section,Township,Range,Legal Description,Legal Description Short,Surface Acres,Land Class Description,PLSSID,FRSTDIVID,SECDIVID,,,,,,,,,,,,,,,,,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",L1,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330L1,,,,,,,,,,,,,,,,,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",NWSW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ANWSW,,,,,,,,,,,,,,,,,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",SESW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ASESW,,,,,,,,,,,,,,,,,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",L2,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330L2,,,,,,,,,,,,,,,,,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",SWSW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ASWSW,,,,,,,,,,,,,,,,,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",NWNW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ANWNW,,,,,,,,,,,,,,,,,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",SENW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ASENW,,,,,,,,,,,,,,,,,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",L3,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330L3,,,,,,,,,,,,,,,,,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",L4,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330L4,,,,,,,,,,,,,,,,,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",SWNW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ASWNW,,,,,,,,,,,,,,,,,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",NESW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ANESW,,,,,,,,,,,,,,,,,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",L4,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330L4,,,,,,,,,,,,,,,,,
Marshall,5,25,127N,56W,All,NWNE,80,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ANWNE,,,,,,,,,,,,,,,,,
Marshall,5,25,127N,56W,All,SWNE,80,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ASWNE,,,,,,,,,,,,,,,,,
Marshall,5,25,127N,56W,All,NWSE,80,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ANWSE,,,,,,,,,,,,,,,,,
Marshall,5,25,127N,56W,All,SWSE,80,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ASWSE,,,,,,,,,,,,,,,,,
Marshall,5,25,127N,56W,All,NWNW,80,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ANWNW,,,,,,,,,,,,,,,,,
Marshall,5,25,127N,56W,All,SWNW,80,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ASWNW,,,,,,,,,,,,,,,,,
Marshall,5,25,127N,56W,All,NWSW,80,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ANWSW,,,,,,,,,,,,,,,,,
Marshall,5,25,127N,56W,All,SWSW,80,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ASWSW,,,,,,,,,,,,,,,,,
Marshall,5,25,127N,56W,All,NENW,80,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ANENW,,,,,,,,,,,,,,,,,
Marshall,5,25,127N,56W,All,SENW,80,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ASENW,,,,,,,,,,,,,,,,,
Marshall,5,25,127N,56W,All,NESW,80,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ANESW,,,,,,,,,,,,,,,,,
Marshall,5,25,127N,56W,All,SESW,80,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ASESW,,,,,,,,,,,,,,,,,
Marshall,5,25,127N,56W,All,NENE,80,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ANENE,,,,,,,,,,,,,,,,,
Marshall,5,25,127N,56W,All,SENE,80,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ASENE,,,,,,,,,,,,,,,,,
Marshall,5,25,127N,56W,All,NESE,80,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ANESE,,,,,,,,,,,,,,,,,
Marshall,5,25,127N,56W,All,SESE,80,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ASESE,,,,,,,,,,,,,,,,,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L4,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L4,,,,,,,,,,,,,,,,,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L5,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L5,,,,,,,,,,,,,,,,,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",NWSW,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200ANWSW,,,,,,,,,,,,,,,,,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",SESE,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200ASESE,,,,,,,,,,,,,,,,,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L5,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L5,,,,,,,,,,,,,,,,,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L1,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L1,,,,,,,,,,,,,,,,,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L8,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L8,,,,,,,,,,,,,,,,,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",NESE,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200ANESE,,,,,,,,,,,,,,,,,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",SWSW,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200ASWSW,,,,,,,,,,,,,,,,,
