County,Meridian,Section,Township,Range,Legal Description,Legal Description Short,Surface Acres,Land Class Description,PLSSID,FRSTDIVID,SECDIVID,STATEABBR,PRINMERCD,PRINMER,TWNSHPNO,TWNSHPFRAC,TWNSHPDIR,RANGENO,RANGEFRAC,RANGEDIR,TWNSHPDPCD,STEWARD,TWNSHPLAB,FRSTDIVTYP,FRSTDIVTXT,FRSTDIVNO,FRSTDIVDUP,FRSTDIVLAB,SECDIVTYP,SECDIVTXT,SECDIVNO,SECDIVLAB,QSEC,QQSEC,GOVLOT,RECRDAREATX,RECRDAREANO,GISACRE,REVISEDDATE,GlobalID,OBJECTID,Shape.STArea(),Shape.STLength(),SECDIVNOTE
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",L1,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330L1,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,L,Government Lot,1,L 1,NE,NWNE,L1,15.13 Acres,15.13,14.96473055,1417737600000,{EBFE3EC6-C276-4DB3-A1ED-2C6D1CFDCEF4},1136052,124514.54301723,1591.439264480409,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",NWSW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ANWSW,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,A,Aliquot Part,NWSW,NWSW,SW,NWSW,,40 Acres,40.0,39.91789421,1417737600000,{FA06A6C7-D9E8-4259-90B8-1A49BF973205},1136070,332056.41775997,2304.9944069866683,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",SESW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ASESW,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,A,Aliquot Part,SESW,SESW,SW,SESW,,40 Acres,40.0,40.11812801,1417737600000,{4FB01BDC-2F8F-4823-BDBB-F0C7F482F79F},1136082,333677.8598436,2310.6907125075372,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",L2,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330L2,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,L,Government Lot,2,L 2,NE,SWNE,L2,23.53 Acres,23.53,23.16573565,1417737600000,{964E5F3A-E79B-495B-8CFB-A578725BF17C},1136062,192727.207345985,1830.9317771607903,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",SWSW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ASWSW,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,A,Aliquot Part,SWSW,SWSW,SW,SWSW,,40 Acres,40.0,39.8579257,1417737600000,{27624624-2958-429D-90DD-D870FC03916E},1136081,331514.88435756,2303.174167932052,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",NWNW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ANWNW,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,A,Aliquot Part,NWNW,NWNW,NW,NWNW,,40 Acres,40.0,39.8475403,1417737600000,{D6DABB36-18D3-48A3-BFE8-2E5FA0AEB5C2},1136050,331556.35353324,2303.25926029202,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",SENW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ASENW,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,A,Aliquot Part,SENW,SENW,NW,SENW,,40 Acres,40.0,39.66942358,1417737600000,{1C5F40CE-F66D-44AB-A77F-D749BF053E1A},1136061,330031.12143351,2297.9432170124674,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",L3,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330L3,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,L,Government Lot,3,L 3,SE,NWSE,L3,31.93 Acres,31.93,32.20770023,1417737600000,{68FDDB47-B27B-478B-B240-FFB64C57370C},1136072,267917.766488635,2098.503932208601,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",L4,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330L4,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,L,Government Lot,4,L 4,SE,SESE,L4,40.33 Acres,40.33,1.5756033,1417737600000,{E6CBE87C-717D-412E-9B05-F60DA04BD79C},1136085,13104.294448725,781.9270921333032,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",L4,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330L4,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,L,Government Lot,4,L 4,SE,SWSE,L4,40.33 Acres,40.33,39.63143934,1417737600000,{204DFFFD-6B82-4A99-BA2D-6166C2CFAF53},1136083,329628.89302668,2272.174572909447,
