,present_day_tribe,cession_count,cession_number,subsurface_acres,surface_acres,timber_acres,university,state
0,Apache Tribe of Oklahoma,1,688,236217.2,164859.73,,"Colorado State University, New Mexico State University","CO, NM"
1,"Arapaho Tribe of the Wind River Reservation, Wyoming",4,"426, 477, 598, 597",99290.86,73067.96,,"Colorado State University, South Dakota State University, University of Wyoming","SD, CO, WY"
2,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana",5,"597, 614, 699, 598, 516",58415.33,31323.67,,"North Dakota State University, South Dakota State University, University of Wyoming","SD, WY, ND"
3,"Big Pine Band of Owens Valley Paiute Shoshone Indians of the Big Pine Reservation, California",1,558,159.51,,,Utah State University,UT
4,"Bishop Paiute Tribe, California",1,558,159.51,,,Utah State University,UT
5,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,5,"399, 692, 574, 565, 398",69340.12,56227.89,,Montana State University,MT
6,Bridgeport Paiute Indian Colony of California,1,558,159.51,,,Utah State University,UT
7,Burns Paiute Tribe of the Burns Paiute In,1,558,159.51,,,Utah State University,UT
8,"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota",5,"597, 614, 699, 598, 516",58415.33,31323.67,,"North Dakota State University, South Dakota State University, University of Wyoming","SD, WY, ND"
9,"Cheyenne and Arapaho Tribes, Oklahoma",2,"426, 477",52785.76,42222.88,,"Colorado State University, University of Wyoming","CO, WY"
10,"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana",1,445,1078.74,,,North Dakota State University,ND
11,"Coeur D'Alene Tribe, Idaho",1,553,18465.4,15046.44,6731.66,"University of Idaho, Washington State University","WA, ID"
12,"Comanche Nation, Oklahoma",1,478,141514.45,113069.19,,"Colorado State University, New Mexico State University","CO, NM"
13,"Confederated Salish & Kootenai Tribes of the Flathead Reservation, Montana",2,"373, 399",44125.48,34500.35,,"University of Idaho, Montana State University","MT, ID"
14,"Confederated Tribes and Bands of the Yakama Nation, Washington",2,"458, 364",54807.6,42304.03,42304.03,Washington State University,WA
15,"Confederated Tribes of the Chehalis Reservation, Washington",1,458,14742.85,14047.65,14047.65,Washington State University,WA
16,"Confederated Tribes of the Colville Reservation, Washington",3,"373, 533, 532",38064.01,24485.36,7105.19,"University of Idaho, Washington State University, Montana State University","MT, WA, ID"
17,Confederated Tribes of the Goshute Reservation,1,520,35040.49,18309.27,,"Utah State University, University of Idaho, University of Wyoming","UT, WY, ID"
18,Crow Creek Sioux Tribe of the Crow Creek Reservat,2,"597, 598",46505.1,30845.08,,"South Dakota State University, University of Wyoming","SD, WY"
19,"Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota",3,"614, 699, 516",11910.23,478.59,,"North Dakota State University, South Dakota State University","SD, ND"
20,Crow Tribe of Montana,4,"517, 565, 619, 574",162198.28,119778.04,,"University of Wyoming, Montana State University","MT, WY"
21,Duwamish Tribe of Indians [Unrecognized],1,347,6645.68,6832.55,6832.55,Washington State University,WA
22,Flandreau Santee Sioux Tribe of Sou,3,"614, 699, 516",11910.23,478.59,,"North Dakota State University, South Dakota State University","SD, ND"
23,Fort Belknap Indian Community of the Fort Belknap Reservation of Montana,5,"692, 574, 565, 620, 529",22958.48,14908.84,,"North Dakota State University, University of Wyoming, Montana State University","MT, WY, ND"
24,Fort Sill Apache Tribe of Oklahoma,1,688,236217.2,164859.73,,"Colorado State University, New Mexico State University","CO, NM"
25,"Jamestown S'Klallam Tribe, Washington",1,353,7729.9,6688.32,6688.32,Washington State University,WA
